event_type,order_hash,order_type,chain,protocol_address,start_date,expiration_date,quantity,maker,taker,event_timestamp,is_private_listing,payment_quantity,payment_token_address,payment_decimals,payment_symbol,asset_identifier,asset_collection,asset_contract,asset_token_standard,asset_name,asset_description,asset_image_url,asset_metadata_url,asset_opensea_url,asset_updated_at,asset_is_disabled,asset_is_nsfw
order,0xee450499348f8ce7cb4b1830ebc7c89d6f246192c5b76bbb1f20425543a0c47f,trait_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171238,1709171898,1,0xdf081666b112c0fac2def42b55a474baa07c7d35,,1709171239,False,1240800000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,,,,,,,,,,,,
order,0x5398b7f831b4e7ad13d2f1257d62f8e4ba89e34d43bdeaee00c03fd05650be76,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171237,1709173938,1,0x0f006581eb201aa7352c1b24cf1bf8a70aa2ae3d,,1709171238,False,1150000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,5161,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #12739,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone without any Murakami trait please read the terms regarding RTFKT - Owned Content here: https://rtfkt.com/legal-2A

You are also entitled to a commercial license, please read the terms to that here: https://rtfkt.com/legal-2C",https://clonex-assets.rtfkt.com/images/5161.png,https://clonex-assets.rtfkt.com/5161,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/5161,2022-12-15T05:14:42.816864,False,False
order,0x348e61a5b003692e32329b448127025120609a2150120beefa36da29d2b84dc1,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171237,1709173937,1,0x0f006581eb201aa7352c1b24cf1bf8a70aa2ae3d,,1709171238,False,1150000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,14664,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #19868,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone without any Murakami trait please read the terms regarding RTFKT - Owned Content here: https://rtfkt.com/legal-2A

You are also entitled to a commercial license, please read the terms to that here: https://rtfkt.com/legal-2C",https://clonex-assets.rtfkt.com/images/14664.png,https://clonex-assets.rtfkt.com/14664,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/14664,2022-12-15T05:16:32.659266,False,False
order,0xb8aa80258051148fdf13d608f50c2c570a06569f8fc274f28260e61c1eecdb02,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171230,1709172428,1,0x038b97d549bf4d3cfa4e116a7f6ed257249001c5,,1709171237,False,3199800000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,1708,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #10275,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone without any Murakami trait please read the terms regarding RTFKT - Owned Content here: https://rtfkt.com/legal-2A

You are also entitled to a commercial license, please read the terms to that here: https://rtfkt.com/legal-2C",https://clonex-assets.rtfkt.com/images/1708.png,https://clonex-assets.rtfkt.com/1708,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/1708,2024-02-23T18:45:26.608084,False,False
order,0x878728288697297f99eed1d3ec65aa5d8527e0cc3385bb47ce0e2457ac3c6ab3,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171230,1709176027,1,0xda7b30b3a72dfe34581809de0a84e2cd29dcc793,,1709171237,False,1352400000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,8874,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #3326,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone with even one Murakami trait please read the terms regarding third-party content here: https://rtfkt.com/legal-2B.

You are not entitled to a commercial license if you own an avatar with any traits created by Murakami.",https://clonex-assets.rtfkt.com/images/8874.png,https://clonex-assets.rtfkt.com/8874,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/8874,2023-03-10T10:46:52.726116,False,False
order,0x8abf9ec2a17e06e7e47bb4d5f917bf8b3e7fa4a5343da5322adf846eb4502224,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171234,1709172427,1,0xc5948853069a1ddcab794671d365dd64faaa7ab8,,1709171237,False,1480900000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,5932,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #2631,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone with even one Murakami trait please read the terms regarding third-party content here: https://rtfkt.com/legal-2B.

You are not entitled to a commercial license if you own an avatar with any traits created by Murakami.",https://clonex-assets.rtfkt.com/images/5932.png,https://clonex-assets.rtfkt.com/5932,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/5932,2023-07-05T15:06:13.685202,False,False
order,0xf03526fc78487779f80e62b0c695f61c3f294dd70c245bec29e068cd540d6cd7,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171235,1709174835,1,0xa46490f8e46eeb9a3f5228d386d1fb7ef2d7588b,,1709171237,False,2313400000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,10530,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #17875,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone with even one Murakami trait please read the terms regarding third-party content here: https://rtfkt.com/legal-2B.

You are not entitled to a commercial license if you own an avatar with any traits created by Murakami.",https://clonex-assets.rtfkt.com/images/10530.png,https://clonex-assets.rtfkt.com/10530,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/10530,2023-03-10T10:43:44.519850,False,False
order,0x07a94009c4d6e5e62e0f066eed8f91cbcb59471e93e8a5fe8d80f05be2da71b0,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171230,1709176023,1,0xda7b30b3a72dfe34581809de0a84e2cd29dcc793,,1709171236,False,1350000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,9645,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #12741,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone without any Murakami trait please read the terms regarding RTFKT - Owned Content here: https://rtfkt.com/legal-2A

You are also entitled to a commercial license, please read the terms to that here: https://rtfkt.com/legal-2C",https://clonex-assets.rtfkt.com/images/9645.png,https://clonex-assets.rtfkt.com/9645,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/9645,2024-02-17T03:32:26.096916,False,False
order,0x2885ad43dc8a38d97674283be17c27a5e1c1abf1041274ec2be5d79ab731726f,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171236,1709173936,1,0x0f006581eb201aa7352c1b24cf1bf8a70aa2ae3d,,1709171236,False,1150000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,5135,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #15303,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone without any Murakami trait please read the terms regarding RTFKT - Owned Content here: https://rtfkt.com/legal-2A

You are also entitled to a commercial license, please read the terms to that here: https://rtfkt.com/legal-2C",https://clonex-assets.rtfkt.com/images/5135.png,https://clonex-assets.rtfkt.com/5135,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/5135,2023-03-10T10:54:20.469113,False,False
order,0xbd941e8f7a13c165042fd25ef630a46fc16d1827d6aef4cb4964d86352ee2524,item_offer,ethereum,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,1709171235,1709176035,1,0xa46490f8e46eeb9a3f5228d386d1fb7ef2d7588b,,1709171236,False,2205200000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,7131,clonex,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,erc721,CloneX #8310,"🧬 CLONE X 🧬

20,000 next-gen Avatars, by RTFKT and Takashi Murakami 🌸

If you own a clone with even one Murakami trait please read the terms regarding third-party content here: https://rtfkt.com/legal-2B.

You are not entitled to a commercial license if you own an avatar with any traits created by Murakami.",https://clonex-assets.rtfkt.com/images/7131.png,https://clonex-assets.rtfkt.com/7131,https://opensea.io/assets/ethereum/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b/7131,2022-12-15T05:15:08.465360,False,False
